Film Adı;IMDb Puanı;Oy Sayısı;Yönetmen;Yazar;Tür;Bütçe;Ülke;Yorum Sayısı;Çıkış Yılı;Film Süresi;;;;
Babam İçin;8,01;194000;Jim Sheridan;Gerry Conlon;Drama;$13,000,000 ;Ireland;231;1993;2h 13m;;;;
Sevimli Canavarlar;8,01;1000000;Pete Docter;Pete Docter;Comedy;$115,000,000 ;United States;826;2001;1h 32m;;;;
Ratatuy;8,01;872000;Brad Bird;Brad Bird;Adventure;$150,000,000 ;United States;942;2007;1h 51m;;;;
Altına Hücum;8,01;123000;Charles Chaplin;Charles Chaplin;Farce;$923,000 ;United States;290;1925;1h 35m;;;;
Asabiyim Ben;8,01;226000;Damián Szifron;Julian Loyola;Comedy;$3,300,000 ;Argentina;302;2014;2h 2m;;;;
Ejderhanı Nasıl Eğitirsin;8,01;833000;Dean DeBlois;William Davies;Animation;$165,000,000 ;United States;776;2010;1h 38m;;;;
Sherlock Jr.;8,01;61000;Buster Keaton;Jean C. Havez;Bumbling Detective;Bilinmiyor;United States;399;1924;45m;;;;
Jaws;8,01;687000;Steven Spielberg;Peter Benchley;Horror;$7,000,000 ;United States;1.500;1975;2h 4m;;;;
Avcı;8,01;373000;Michael Cimino;Michael Cimino;Epic;$15,000,000 ;United States;1.200;1978;3h 3m;;;;
General;8,01;102000;Clyde Bruckman;Buster Keaton;Farce;$750,000 ;United States;373;1926;1h 18m;;;;
Mary ve Max;8,01;194000;Adam Elliot;Adam Elliot;Animation;A$8,240,000 ;Australia;278;2009;1h 32m;;;;
Asfaltın Kralları;8,01;512000;James Mangold;Jez Butterworth;Drama;$97,600,000 ;United States;1.700;2019;2h 32m;;;;
Dehşet Yolcuları;8,01;69000;Henri-Georges Clouzot;Georges Arnaud;Drama;Bilinmiyor;France;213;1953;2h 36m;;;;
Rıhtımlar Üstünde;8,01;171000;Elia Kazan;Budd Schulberg;Drama;$910,000 ;United States;407;1954;1h 48m;;;;
Mr. Smith Washington'a Gidiyor;8,01;125000;Frank Capra;Sidney Buchman;Drama;$1,900,000 ;United States;359;1939;2h 9m;;;;
Yaban Çilekleri;8,01;119000;Ingmar Bergman;Ingmar Bergman;Drama;Bilinmiyor;Sweden;239;1957;1h 32m;;;;
Mihrace;8,01;64000;Nithilan Saminathan;Nithilan Saminathan;Action;₹200,000,000 ;India;465;2024;2h 21m;;;;
Üçüncü Adam Kim?;8,01;188000;Carol Reed;Graham Greene;Film Noir;Bilinmiyor;United Kingdom;573;1949;1h 44m;;;;
X-Men: Logan;8,01;880000;James Mangold;James Mangold;Sci-Fi;$97,000,000 ;United States;1.800;2017;2h 17m;;;;
Rocky;8,01;653000;John G. Avildsen;Sylvester Stallone;Boxing;$960,000 ;United States;879;1976;2h;;;;
Tokyo Hikâyesi;8,01;73000;Yasujirô Ozu;Kôgo Noda;Drama;Bilinmiyor;Japan;256;1953;2h 17m;;;;
Büyük Lebowski;8,01;883000;Joel Coen;Ethan Coen;Comedy;$15,000,000 ;United Kingdom;1.500;1998;1h 57m;;;;
Spotlight;8,01;515000;Tom McCarthy;Josh Singer;Drama;$20,000,000 ;United States;737;2015;2h 9m;;;;
Yedinci Mühür;8,01;206000;Ingmar Bergman;Ingmar Bergman;Drama;$150,000 ;Sweden;436;1957;1h 36m;;;;
Terminatör: Yok Edici;8,01;956000;James Cameron;James Cameron;Artificial Intelligence;$6,400,000 ;United Kingdom;1.100;1984;1h 47m;;;;
Gizli Dünya;8,01;464000;Lenny Abrahamson;Emma Donoghue;Drama;$13,000,000 ;Ireland;841;2015;1h 58m;;;;
Demon Slayer: Kimetsu No Yaiba - Orchestra Concert - Mugen Train Arc;8,01;30000;Haruo Sotozaki;Koyoharu Gotouge;Anime;Bilinmiyor;Japan;22;2021;1h 27m;;;;
Karayıp Korsanları: Siyah İnci'nin Laneti;8,01;1300000;Gore Verbinski;Ted Elliott;Adventure;$140,000,000 ;United States;2.400;2003;2h 23m;;;;
Ruanda Oteli;8,01;381000;Terry George;Keir Pearson;Drama;$17,500,000 ;United States;817;2004;2h 1m;;;;
Protesto - Nefret;8,01;208000;Mathieu Kassovitz;Mathieu Kassovitz;Gangster;€2,590,000 ;France;302;1995;1h 38m;;;;
Müfreze;8,01;452000;Oliver Stone;Oliver Stone;Drama;$6,000,000 ;United States;723;1986;2h;;;;
Jai Bhim;8,01;224000;T.J. Gnanavel;T.J. Gnanavel;Drama;Bilinmiyor;India;3.300;2021;2h 44m;;;;
Gün Batmadan;8,01;299000;Richard Linklater;Richard Linklater;Drama;$2,700,000 ;France;625;2004;1h 20m;;;;
Hayatımızın En Güzel Yılları;8,01;73000;William Wyler;Robert E. Sherwood;Epic;$2,100,000 ;United States;374;1946;2h 50m;;;;
La passion de Jeanne d'Arc;8,01;64000;Carl Theodor Dreyer;Joseph Delteil;Drama;Bilinmiyor;France;258;1928;1h 50m;;;;
Şeytan;8,01;473000;William Friedkin;William Peter Blatty;Horror;$11,000,000 ;United States;1.500;1973;2h 2m;;;;
Oz Büyücüsü;8,01;446000;Victor Fleming;Noel Langley;Epic;$2,777,000 ;United States;882;1939;1h 42m;;;;
İnanılmaz Aile;8;845000;Brad Bird;Brad Bird;Animation;$92,000,000 ;United States;1000;2004;1h 55m;;;;
Zafere Hücum;8,01;530000;Ron Howard;Peter Morgan;Drama;$38,000,000 ;United Kingdom;694;2013;2h 3m;;;;
Neşeli Günler;8,01;273000;Robert Wise;Georg Hurdalek;Classic Musical;$8,200,000 ;United States;589;1965;2h 52m;;;;
Hachi: Bir Köpeğin Hikâyesi;8,01;324000;Lasse Hallström;Stephen P. Lindsey;Adventure;$16,000,000 ;United Kingdom;676;2009;1h 33m;;;;
Benimle Kal;8,01;459000;Rob Reiner;Stephen King;Coming-of-Age;$8,000,000 ;United States;861;1986;1h 29m;;;;
Şebeke;8,01;177000;Sidney Lumet;Paddy Chayefsky;Comedy;$3,800,000 ;United States;471;1976;2h 1m;;;;
Babam ve Oğlum;8,01;96000;Çagan Irmak;Çagan Irmak;Drama;Bilinmiyor;Turkey;151;2005;1h 48m;;;;
Hizmetçi;8,01;185000;Park Chan-wook;Sarah Waters;Romance;₩10,000,000,000 ;South Korea;374;2016;2h 25m;;;;
Demir Dev;8,01;241000;Brad Bird;Tim McCanlies;Alien Invasion;$70,000,000 ;United States;660;1999;1h 26m;;;;
Olmak ya da Olmamak;8,01;46000;Ernst Lubitsch;Melchior Lengyel;Comedy;Bilinmiyor;United States;182;1942;1h 39m;;;;
Cezayir Savaşı;8,01;70000;Gillo Pontecorvo;Franco Solinas;Drama;$800,000 ;Italy;334;1966;2h 1m;;;;
Into the Wild;8,01;675000;Sean Penn;Sean Penn;Coming-of-Age;$15,000,000 ;United States;1.200;2007;2h 28m;;;;
Gazap Üzümleri;8,01;103000;John Ford;Nunnally Johnson;Drama;$800,000 ;United States;459;1940;2h 9m;;;;
Bugün Aslında Dündü;8;710000;Harold Ramis;Danny Rubin;Romance;$14,600,000 ;United States;991;1993;1h 41m;;;;
Duyguların Rengi;8,01;508000;Tate Taylor;Tate Taylor;Drama;$25,000,000 ;United States;714;2011;2h 26m;;;;
Koe no katachi;8,01;115000;Naoko Yamada;Yoshitoki Ôima;Anime;Bilinmiyor;Japan;415;2016;2h 10m;;;;
Paramparça Aşklar Köpekler;8;259000;Alejandro G. Iñárritu;Guillermo Arriaga;Tragedy;$2,000,000 ;Mexico;439;2000;2h 34m;;;;
Rebeka;8,01;152000;Alfred Hitchcock;Daphne Du Maurier;Romance;$1,288,000 ;United States;430;1940;2h 10m;;;;
Bir İdam Mahkûmu Kaçtı;8,01;28000;Robert Bresson;André Devigny;Drama;Bilinmiyor;France;102;1956;1h 41m;;;;
